Type,Valid,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans,GUID,Sheet,Column
CBE603AD3,2,(Registration Number ),"=""(""&IF(EntityType=""Sole Proprietor"",""Identification"",""Registration"")&"" Number ""&RegistrationNumber&"")""",,,CBE603AD,Status,3
6D0AD4D73,2, as at 28 Februarie 2021,"=AFS_Name&"" as at ""&YearEndDate_Calc",,,6D0AD4D7,Status,3
A3451E123,2,Status,"=IF(Capitalisation=1,""STATUS"",""Status"")",,,A3451E12,Status,3
4F0557F03,2,Figures in R,"=IF(CurrencySymbolLoc=1,"""",""Figures in ""&CurrencySymbol)",,,4F0557F0,Status,3
C0893DD53,2,Updated tax tables for small and micro businesses 31 March 2022,"=IF(CountryOfIncorporation=""South Africa"",""Updated tax tables for small and micro businesses 31 March 2022"",""Not yet in use"")",,,C0893DD5,Status,3
3F68354B3,2,Updated tax tables for small and micro businesses 31 March 2024,"=IF(CountryOfIncorporation=""South Africa"",""Updated tax tables for small and micro businesses 31 March 2024"",""Not yet in use"")",,,3F68354B,Status,3
B3DB9D893,2,Updated ITR14 / ITR12T workbook,"=IF(CountryOfIncorporation=""South Africa"",""Updated ITR14 / ITR12T workbook"",""Not yet in use"")",,,B3DB9D89,Status,3
E608B2813,2,Updated disclosures in terms of SAICA Body Corporate Illustrative Example V1.0,"=IF(OR(CountryOfIncorporation=""South Africa"",CountryOfIncorporation=""Botswana""),""Updated disclosures in terms of SAICA Body Corporate Illustrative Example V1.0"",""Not yet in use"")",,,E608B281,Status,3
F40E8DA33,2,Replacement of TaxCalc sheet to add extra functionality,"=IF(CountryOfIncorporation=""South Africa"",""Replacement of TaxCalc sheet to add extra functionality"",""Not yet in use"")",,,F40E8DA3,Status,3
F2E302DF3,2,"Your retained income is out possibly due to journals that were posted in Draftworx last year, but were not posted back into the accounting system, and thus opening balances are incorrect. The accountant may have also posted entries against retained income incorrectly. Your TB needs to now be corrected with a journal against Retained income and the corresponding statement of financial position items that the prior year journals should have affected.","=""Your retained income is out possibly due to journals that were posted in Draftworx last year, but were not posted back into the accounting system, and thus opening balances are incorrect. ""&""The accountant may have also posted entries against retained income incorrectly. ""&""Your TB needs to now be corrected with a journal against Retained income and the corresponding ""&IFERROR(LOWER(SoFP_Name),LOWER(MSoFP_Name))&"" items that the prior year journals should have affected.""",,,F2E302DF,Status,3
9A8CBDF53,2,Statement of changes in equity - Other changes not yet reconciled,"=""Statement of changes in ""&IF(EntityType=""Trust"",""trust funds"",""equity"")&"" - Other changes not yet reconciled""",,,9A8CBDF5,Status,3
B432CC583,2,"In order to prevent perceived visible arithmetic errors, when the working trial balance is imported into the finanical statements, all trial balance line items are rounded to the nearest South African Rand (or thousands etc as set up in client setup). Depending on the length of the trial balance, this rounding can result in a difference of a few South African Rand. Should the balance sheet be out by anything up to R20 (or R40 for consolidations, we will apply this as a rounding difference as set out below for each of the years.","=""In order to prevent perceived visible arithmetic errors, when the working trial balance is imported into the finanical statements, all trial balance line items are rounded to the nearest ""&CurrencyDescription&"" (or thousands etc as set up in client setup). Depending on the length of the trial balance, this rounding can result in a difference of a few ""&CurrencyDescription&"". Should the balance sheet be out by anything up to ""&CurrencySymbol&""20 (or ""&CurrencySymbol&""40 for consolidations, we will apply this as a rounding difference as set out below for each of the years.""",,,B432CC58,Status,3
0FA5FEC62,2,0,=AFS_Name,,,0FA5FEC6,Cover,2
E88208FE2,2,for the year ended 28 Februarie 2021,"=""for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc",,,E88208FE,Cover,2
2B6651B12,2,Audited ,"=IFERROR(IF(IFERROR(ReportAudit_Display,0)=1, ""Audited "", IF(IFERROR(ReportReview_Display,0)=1, ""Reviewed "", IF(IFERROR(ReportCompilation_Display,0)+IFERROR(ReportOfficer_Display,0)>=1, ""Compiled "",""""))),"""")&AFS_Name_Annual",,,2B6651B1,Cover,2
F9E4AFB62,2,Audited ,"=IFERROR(IF(IFERROR(ReportAudit_Display,0)=1,""Audited"", IF(IFERROR(ReportReview_Display,0)=1,""Independently Reviewed"",IF(EntityType=""Company"",""Unaudited Unreviewed"",IF(IFERROR(ReportCompilation_Display,0)+IFERROR(ReportOfficer_Display,0)+IFERROR(ReportSAICA_Display,0)>=1,""Compiled"","""")))),"""")&"" ""&AFS_Name_Annual",,,F9E4AFB6,Cover,2
DCB8ED2E3,2, for the year ended 28 Februarie 2021,"=AFS_Name&"" for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc",,,DCB8ED2E,Index,3
4FD6B8A25,2,Page,"=IF(Capitalisation=1,""PAGE"",""Page"")",,,4FD6B8A2,Index,5
4B056D113,2,Direkteur se Responsibilities and Approval,"=IF(Director2<>"""",ManagementDescriptionPluralApostrophe&"" Responsibilities and Approval"",ManagementDescriptionSingularApostrophe&"" Responsibilities and Approval"")",,,4B056D11,Index,3
9D8A5B8F3,2,Direkteur se Report,"=IF(Director2<>"""",ManagementDescriptionPluralApostrophe&"" Report"",ManagementDescriptionSingularApostrophe&"" Report"")",,,9D8A5B8F,Index,3
A92035643,2,Statement of Financial Position,"=""Statement""&IF(Consoli=1,""s"","""")&"" of Financial Position""",,,A9203564,Index,3
3DACFAA63,2,Statement of Wins or Verlies and Other Comprehensive Income,"=""Statement""&IF(Consoli=1,""s"","""")&"" of ""&IF(OR(DisclosureType=""GRAP"",DisclosureType=""IPSAS""),""Financial Performance"",IF(DisclosureType=""IFRS"",PSUpper&"" or ""&LDUpper&"" and Other "",""""))&IF(IFERROR(SummarySoCE,""N"")=""Y"",""Income and Retained Earnings"",""Comprehensive Income"")",,,3DACFAA6,Index,3
9D4CBCA13,2,Statement of Changes in Equity,"=""Statement""&IF(Consoli=1,""s"","""")&"" of Changes in ""&IF(DisclosureType=""GRAP"",""Net Assets"",IF(EntityType=""Trust"",""Trust Funds"",""Equity""))&GroupDash",,,9D4CBCA1,Index,3
