English,Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain or loss recognised on the measurement to fair value less costs to sell- discontinued operation,Wins of verlies wat erken word op die meting tot markwaarde verminder met koste om te verkoop - beëindigde bedrywighede.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write-down / reversal of write-down of deferred tax asset that is no longer probable to be realised,Skryf-af / omkering van skryf-af van uitgestelde belastingbate wat nie langer waarskynlik is om gerealiseer te word nie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference between carrying amount of div. payable and carrying amount of non-cash assets distri.,Verskil tussen die draagbedrag van dividendverskuldiging en die draagbedrag van nie-kontantbatesverspreiding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of OCI of ass and jv using equity meth that will not be reclass to profit or loss,Deel van OCI van ass en jv met behulp van aandelenmethode wat nie herklassifiseer sal word na wins of verlies nie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyrights, patents and other industrial property rights, service and operating rights","Auteursregte, patente en ander nywerheidseiendomsregte, diens- en bedryfsregte.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedging gains and losses for hedge of group of items with offsetting risk positions,Die beskerming van wins en verliese vir die heg van 'n groep items met teenoorgestelde risikoposisies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of OCI of ass and jv using equity meth that will be reclass to profit or loss,Deel van OCI van ass en jv gebruik ekwiteit metode wat herklassifiseer sal word na wins of verlies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subsequent sales of assets held for rental to others and subsequently held for sale,Opvolgende verkoop van bates wat vir verhuring aan ander gehou word en daarna gehou word vir verkoop.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reclassification adjustments on change in value of foreign currency basis spreads,Hersklassifikasie aanpassings op verandering in waarde van buitelandse valuta basisverspreidings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefit of unrecognised tax loss / tax credit / temp diff reducing deferred tax,Voordeel van onerkende belastingverlies / belastingkrediet / tydelike verskil wat uitgestelde belasting verminder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefit of unrecognised tax loss / tax credit / temp diff reducing current tax,Voordeel van onerkende belastingverlies / belastingkrediet / tussentydse verskil wat huidige belasting verminder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyrights, pats and other ind property rights, service and operating rights","Auteursregte, patente en ander eiendomsregte, diens- en bedryfsregte.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefit of unrecognised tax loss / tax credit / temp diff reducing deferred,Voordeel van onerkende belastingverlies / belastingkrediet / tydelike verskil wat uitgestelde belasting verminder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner-occupied property measured using investment property fair value model,Eienaar-beleide eiendom gemeet met die beleggingseiendom billike waarde-model.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain or loss recognised on the disposal of the assets or disposal groups,Winst of verlies wat erken word by die vervreemding van bates of vervreemdingsgroepe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other comprehensive income, attributable to non-controlling interests","Ander omvattende inkomste, toewysbaar aan nie-beheerbelangstellendes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gains (losses) on change in value of foreign currency basis spreads,Winst (verlies) op verandering in waarde van buitelandse valuta gebaseerde spreads.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retirement benefit obligation present value of funded obligations,Aftreevoordeel verpligting huidige waarde van gefinansierde verpligtinge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales related to Operating lease Contingent Rent Income,Koste van verkope verband houend met Bedryfsleasetipe Kontingente Huurinkomste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from subleasing right of use assets (set-off) (farming),Inkomste uit onderverhuring van reg van gebruik bates (boerdery),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales related to Finance lease Contingent rent income,Koste van verkope verband hou met Finansiele Huur kontingente huurinkomste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to/(from) directors, managers and employees liabilities","Lenings aan/(van) direkteure, bestuurders en werknemersverpligtinge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gains or losses arising from sale and leaseback transactions,Winste of verliese wat voortspruit uit verkoop en huur-terugkoop transaksies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to/(from) directors, managers and employees impairment","Lenings aan/(van) direkteure, bestuurders en werknemers benadeling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non current non-cash assets pledged as collateral impairment,Nie-lopendede nie-kontant bates wat as versekering vir skade belê is.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction contract progress billings  - discount allowed,Konstruksiekontrak vorderingsfakture - korting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from subleasing right of use assets (set-off) (cos),Inkomste uit onderverhuring van reg van gebruik bates (aftrek) (kos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reclass adjustments on exchange differences on translation,Herskatting aanpassings op wisselkoersverskille op vertaling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Equity accounted investment in joint venture ,Vermindering - gelykwaardige belegging in gesamentlike onderneming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instalment sale agreement liabilities -Cur portion of LTL,Aflossingsverkoopsooreenkoms verpligtinge - Huidige gedeelte van Langtermynlenings (LTL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other income or expense from equity accounted investments,Ander inkomste of uitgawes vanuit geëkwiteerde beleggings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write-down / reversal of write-down of deferred tax asset,Skryf af / omkeer van skryf af van uitgestelde belastingbates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current non-cash assets pledged as collateral impairment,"Huidige nie-kontant bates wat as onderpand geskend word, is benadeel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Equity accounted investment in joint venture,Beknibbeling - Ekwiteitsgekonsolideerde belegging in gesamentlike onderneming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from subleasing right of use assets (not set-off),Inkomste uit onderverhuring van reg van gebruik bates (nie verreken nie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans from directors, managers and employees liabilities","Lenings van direkteure, bestuurders en werknemers se verpligtinge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to/(from) directors, managers and employees assets","Lenings aan/(van) direkteure, bestuurders en werknemers se bates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin and management fees received from related parties,Administrasie- en bestuursgelde ontvang van verwante partye.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and employees liabilities","Lenings aan direkteure, bestuurders en werknemers se aanspreeklikhede",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 1- farming discount allowed,Lewering van dienste Tipe 1 - boerderykorting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 2- farming discount allowed,Dienste lewering Tipe 2 - boerdery-afslag toegelaat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 3- farming discount allowed,Diensteverskaffing Tipe 3 - landboukorting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 4- farming discount allowed,Lewering van dienste Tipe 4 - boerderykorting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendering of services Type 5- farming discount allowed,Verskaffing van dienste Tipe 5 - boerderykorting toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Equity accounted investment in associate ,Beskadiging - Ekwiteit verreken belegging in 'n geassosieerde maatskappy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loans to directors, managers and employees impairment","Lenings aan direkteure, bestuurders en werknemers verlies van waarde.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales related to Operating lease Rent Income,Koste van verkope verband hou met Huurinkomste van Bedryfslees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain/loss on remeasurements of defined benefit plans,Wins/verlies op herskikking van bepaalde voordeelplanne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impairment -Equity accounted investment in associate,Skep - Ekwiteit verantwoorde belegging in 'n geassosieerde maatskappy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from subleasing right of use assets (set-off),Inkomste uit onderverhuur van reg van gebruik bates (verrekening),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Profit/loss on Sale Of Property, plant and equipment","Wins/verlies op Verkoop van Eiendom, aanleg en toerusting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Profit/loss on sale Of Property, plant and equipment","Wins/verlies op die verkoop van eiendom, aanleg en toerusting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Property, plant and equipment under operating leases","Eiendom, aanleg en toerusting onder operasionele huurkontrakte.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact of minimum funding requirement/asset ceiling,Impak van minimum befondsingsvereiste/bateplafon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating lease receivables (immaterial) impairment,Operasionele huurontvangste (onbeduidend) verswakking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property plant and equipment under operating leases,"Eiendom, aanleg en toerusting onder bedryfshuur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arising from previously unrecognised tax loss / ta,Opkomend uit vorige onerkende belastingverlies / ta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitalised finance leases -Current portion of LTL,Gekapitaliseerde finansiële huurkontrakte - Huidige gedeelte van LTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction contract expenses  - discount allowed,Konstruksiekontrakuitgawes - afslag toegelaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of sales related to Finance lease Rent income,Koste van verkope verband hou met Finansiële huurinkomste.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin and management fees paid to related parties,Administrasie- en bestuursfooie betaal aan verwante partye.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First time fair value classification gain or loss,Eerste keer regverdige waarde klassifikasie wins of verlies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain or loss on disposal of biological assets and,Wins of verlies op die vervreemding van biologiese bates en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
