GUID,Cell Reference,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans
FFFCC6BB,'[IFRS+ Financials.xlsx]Directors'!$D$4,IFRS+AFRIKAANS,"'=IF(Capitalisation=1,UPPER(CompanyName),CompanyName)",IFRS+AFRIKAANS,"'=IF(Capitalisation=1,UPPER(CompanyName),CompanyName)"
EB5481D4,'[IFRS+ Financials.xlsx]Directors'!$D$5,(Registration Number ),"'=""(""&IF(EntityType=""Sole Proprietor"",""Identification"",IF(EntityType=""Body Corporate"",""Scheme"",""Registration""))&"" Number ""&RegistrationNumber&"")""",(Registrasienommer),"'=""(""&IF(EntityType=""Sole Proprietor"",""Identifikasie"",IF(EntityType=""Body Corporate"",""Skema"",""Registrasie""))&""nommer ""&RegistrationNumber&"")"""
F25A5CA3,'[IFRS+ Financials.xlsx]Directors'!$D$6,Annual Financial Statements for the year ended 28 February 2025,"'=AFS_Name&"" for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc",Jaarlikse Finansiële State vir die jaar geëindig 28 Februarie 2025,"'=AFS_Name&"" vir die jaar geëindig ""&YearEndDate_Calc"
7EE15543,'[IFRS+ Financials.xlsx]Directors'!$D$8,Director's Report,"'=IF(Capitalisation=1,UPPER(Directors_Name),Directors_Name)",Direksieverslag,"'=IF(Capitalisation=1,""DIREKSIEVERSLAG"",""Direksieverslag"")"
B8080B6E,'[IFRS+ Financials.xlsx]Directors'!$D$12,The director presents their report for the year ended 28 February 2025. ,"'=""The ""&LOWER(Director_board)&Director_present_s&"" ""&DGender_their&"" report for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"". """,Die direkteur lê hul verslag voor vir die jaar geëindig op 28 Februarie 2025.,"'=""Die ""&LOWER(Director_board)&Director_present_s&"" lê ""&DGender_their&"" verslag voor vir die jaar geëindig op ""&YearEndDate_Calc&"". """
3A3A61F9,'[IFRS+ Financials.xlsx]Directors'!$D$14,Review of activities,"'=""Review of ""&IFERROR(IF(Directors_RoAExpand="""","""",""financial results and ""),"""")&""activities""",Oorsig van aktiwiteite,"'=""Oorsig van ""&IFERROR(IF(Directors_RoAExpand="""","""",""finansiële resultate en ""),"""")&""aktiwiteite"""
B42B1E5C,'[IFRS+ Financials.xlsx]Directors'!$D$16,Main business and operations,,Belangrikste besigheid en bedrywighede,"'""Belangrikste besigheid en bedrywighede""'"
F8F49594,'[IFRS+ Financials.xlsx]Directors'!$D$17,The company [INSERT NATURE OF BUSINESS IN CLIENT SETUP]. There were no major changes herein during the year.,"'=""The ""&GroupEntityCase&IF(LEN(NatureOfBusiness)>0,"" ""&NatureOfBusiness,"" [INSERT NATURE OF BUSINESS IN CLIENT SETUP]"")&"". There were no major changes herein during the ""&Period_Year&"".""",Die maatskappy [INSERT NATURE OF BUSINESS IN CLIENT SETUP]. Daar was geen beduidende veranderinge hierin gedurende die jaar nie.,"'=""Die ""&GroupEntityCase&IF(LEN(NatureOfBusiness)>0,"" ""&NatureOfBusiness,"" [INSERT NATURE OF BUSINESS IN CLIENT SETUP]"")&"". Daar was geen beduidende veranderinge hierin gedurende die ""&Period_Year&"" nie."""
2ED496FB,'[IFRS+ Financials.xlsx]Directors'!$D$19,The operating results and statement of financial position of the company are fully set out in the attached financial statements and do not in my opinion require any further comment.,"'=""The operating results and ""&LOWER(GroupAFSPrefix)&""statement of financial position of the ""&GroupEntityCase&"" are fully set out in the attached financial statements and do not in""&Director_my_our&"" opinion require any further comment.""",Die bedryfsresultate en die staat van finansiële posisie van die maatskappy word volledig uiteengesit in die aangehegte finansiële state en verg na my mening geen verdere kommentaar nie.,"'=""Die bedryfsresultate en die ""&LOWER(GroupAFSPrefix)&""staat van finansiële posisie van die ""&GroupEntityCase&"" word volledig uiteengesit in die aangehegte finansiële state en verg na""&Director_my_our&"" mening geen verdere kommentaar nie."""
A8C09DD0,'[IFRS+ Financials.xlsx]Directors'!$D$21,The company did not trade during the year under review.,"'=""The ""&GroupEntityCase&"" did not trade during the ""&Period_Year&"" under review.""",Die maatskappy het nie gedurende die jaar onder hersiening handel gedryf nie.,"'=""Die ""&GroupEntityCase&"" het nie gedurende die ""&Period_Year&"" onder hersiening handel gedryf nie."""
B210C2BA,'[IFRS+ Financials.xlsx]Directors'!$D$23,"For additional detail, please expand this grouping.",,"Vir verdere besonderhede, brei asseblief hierdie groepering uit.","'=""Vir verdere besonderhede, brei asseblief hierdie groepering uit."""
