GUID,Cell Reference,CellValue_English,CellFormula_English,CellValue_Afrikaans,CellFormula_Afrikaans
FFFCC6BB,'[IFRS+ Financials.xlsx]Directors'!$D$4,IFRS+AFRIKAANS,"'=IF(Capitalisation=1,UPPER(CompanyName),CompanyName)",IFRS+AFRIKAANS,"'=IF(Capitalisation=1,UPPER(CompanyName),CompanyName)"
EB5481D4,'[IFRS+ Financials.xlsx]Directors'!$D$5,(Registration Number ),"'=""(""&IF(EntityType=""Sole Proprietor"",""Identification"",IF(EntityType=""Body Corporate"",""Scheme"",""Registration""))&"" Number ""&RegistrationNumber&"")""",(Registrasienommer ),"'=""(""&IF(EntityType=""Sole Proprietor"",""Identifikasie"",IF(EntityType=""Body Corporate"",""Skema"",""Registrasie""))&""nommer ""&RegistrationNumber&"")"""
F25A5CA3,'[IFRS+ Financials.xlsx]Directors'!$D$6,Annual Financial Statements for the year ended 28 February 2025,"'=AFS_Name&"" for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc",,
7EE15543,'[IFRS+ Financials.xlsx]Directors'!$D$8,Director's Report,"'=IF(Capitalisation=1,UPPER(Directors_Name),Directors_Name)",,
B8080B6E,'[IFRS+ Financials.xlsx]Directors'!$D$12,The director presents their report for the year ended 28 February 2025. ,"'=""The ""&LOWER(Director_board)&Director_present_s&"" ""&DGender_their&"" report for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"". """,,
3A3A61F9,'[IFRS+ Financials.xlsx]Directors'!$D$14,Review of activities,"'=""Review of ""&IFERROR(IF(Directors_RoAExpand="""","""",""financial results and ""),"""")&""activities""",,
B42B1E5C,'[IFRS+ Financials.xlsx]Directors'!$D$16,Main business and operations,,,
F8F49594,'[IFRS+ Financials.xlsx]Directors'!$D$17,The company [INSERT NATURE OF BUSINESS IN CLIENT SETUP]. There were no major changes herein during the year.,"'=""The ""&GroupEntityCase&IF(LEN(NatureOfBusiness)>0,"" ""&NatureOfBusiness,"" [INSERT NATURE OF BUSINESS IN CLIENT SETUP]"")&"". There were no major changes herein during the ""&Period_Year&"".""",,
2ED496FB,'[IFRS+ Financials.xlsx]Directors'!$D$19,The operating results and statement of financial position of the company are fully set out in the attached financial statements and do not in my opinion require any further comment.,"'=""The operating results and ""&LOWER(GroupAFSPrefix)&""statement of financial position of the ""&GroupEntityCase&"" are fully set out in the attached financial statements and do not in""&Director_my_our&"" opinion require any further comment.""",,
A8C09DD0,'[IFRS+ Financials.xlsx]Directors'!$D$21,The company did not trade during the year under review.,"'=""The ""&GroupEntityCase&"" did not trade during the ""&Period_Year&"" under review.""",,
B210C2BA,'[IFRS+ Financials.xlsx]Directors'!$D$23,"For additional detail, please expand this grouping.",,,
EAC9B2FB,'[IFRS+ Financials.xlsx]Directors'!$D$24,The company generated no profit or loss after tax for the year ended 28 February 2025 (2024: R0).,"'=""The ""&GroupEntityCase&"" generated ""&IFERROR(IF(TotalIncomeFinal=0,""no ""&PSLower&"" or ""&LDLower,""a ""&IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,PSLower,IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,LDLower,IF(TotalIncomeFinal>0,PSLower,LDLower)))),PSLower&"" / (""&LDLower&"")"")&"" after tax for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&IF(TotalIncomeFinal=0,"""","" of ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomeFinal),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0"")))&IF(YearsToReportOn<=1,"""","" (""&Prior1YearEndDate_Calc2&"": ""&IFERROR(IF(MIN(TotalIncomeFinal,TotalIncomePrior1)>=0,"""",IF(MAX(TotalIncomeFinal,TotalIncomePrior1)<=0,"""",IF(TotalIncomePrior1>0,PSLower,LDLower)&"" of "")),PSLower&"" / (""&LDLower&"")"")&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(TotalIncomePrior1),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"")"")&"".""",,
3D4EC4E7,'[IFRS+ Financials.xlsx]Directors'!$D$26,The company's revenue did not increase/(decrease) and remained R0 for the year ended 28 February 2025.,"'=""The ""&GroupEntityCaseAp&"" revenue ""&IF(YearsToReportOn<=1,""amounted to"",IF(-SUMIF(TBLink,""i.???.???"",Final)=-SUMIF(TBLink,""i.???.???"",Prior1),""did not increase/(decrease) and remained"",IF(-SUMIF(TBLink,""i.???.???"",Final)+1>-SUMIF(TBLink,""i.???.???"",Prior1),""increased"",""decreased"")&"" from ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Prior1)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" in the ""&Prior1_Year_Monthperiod&"" to""))&"" ""&CurrencySymbolRoundingBrackets&""""&TEXT(ABS(SUMIF(TBLink,""i.???.???"",Final)),IFERROR(IF(ThouGrp=0,""#,##0"",""# ##0""),""#,##0""))&"" for the ""&Year_Monthperiod&"" ended ""&YearEndDate_Calc&"".""",,
